コツ,*,*,100,名詞,一般,*,*,*,*,,,
コバラヘッタ,*,*,100,名詞,店舗,*,*,*,*,,,
コリ,*,*,100,名詞,一般,*,*,*,*,,,
コリアンダー,*,*,100,名詞,一般,*,*,*,*,,,
コルマ,*,*,100,名詞,食材,*,*,*,*,,,
サブジ,*,*,100,名詞,食材,*,*,*,*,,,
サフラワー,*,*,100,名詞,食材,*,*,*,*,,,
サムラート,*,*,100,名詞,店舗,*,*,*,*,,,
サルスエラ,*,*,100,名詞,一般,*,*,*,*,,,
さんしょう,*,*,100,名詞,食材,*,*,*,*,,,
シークカバブ,*,*,100,名詞,食材,*,*,*,*,,,
シシリー,*,*,100,名詞,一般,*,*,*,*,,,
シタール,*,*,100,名詞,一般,*,*,*,*,,,
シディーク,*,*,100,名詞,店舗,*,*,*,*,,,
ジペンテン,*,*,100,名詞,食材,*,*,*,*,,,
ジャイヒンド,*,*,10,名詞,店舗,*,*,*,*,,,
シャクティ,*,*,100,名詞,食材,*,*,*,*,,,
シャバシャバ,*,*,100,名詞,一般,*,*,*,*,,,
ジャポニカ,*,*,100,名詞,食材,*,*,*,*,,,
シャリマール,*,*,100,名詞,店舗,*,*,*,*,,,
シュメール,*,*,100,名詞,一般,*,*,*,*,,,
しょうが,*,*,100,名詞,一般,*,*,*,*,,,
しょうゆ,*,*,100,名詞,食材,*,*,*,*,,,
ジンジャー,*,*,100,名詞,食材,*,*,*,*,,,
スイートマジョラム,*,*,100,名詞,一般,*,*,*,*,,,
スープカレー,*,*,100,名詞,一般,*,*,*,*,,,
スキンケア,*,*,100,名詞,一般,*,*,*,*,,,
すき家,*,*,100,名詞,店舗,*,*,*,*,,,
スパイシー,*,*,100,名詞,一般,*,*,*,*,,,
スパイスカフェ,*,*,100,名詞,店舗,*,*,*,*,,,
ターメリック,*,*,100,名詞,食材,*,*,*,*,,,
タイカレー,*,*,100,名詞,一般,*,*,*,*,,,
タイム,*,*,100,名詞,食材,*,*,*,*,,,
ダクシン,*,*,100,名詞,店舗,*,*,*,*,,,
ダバ・インディア,*,*,100,名詞,一般,*,*,*,*,,,
ダバインディア,*,*,100,名詞,店舗,*,*,*,*,,,
たまご,*,*,100,名詞,一般,*,*,*,*,,,
たまねぎ,*,*,100,名詞,一般,*,*,*,*,,,
たまねぎ,*,*,100,名詞,食材,*,*,*,*,,,
タルカ,*,*,100,名詞,一般,*,*,*,*,,,
ダルマサーガラ,*,*,100,名詞,店舗,*,*,*,*,,,
タンドゥール,*,*,100,名詞,一般,*,*,*,*,,,
タンドール,*,*,100,名詞,一般,*,*,*,*,,,
タンドリー,*,*,100,名詞,食材,*,*,*,*,,,
チーズクルチャ,*,*,100,名詞,一般,*,*,*,*,,,
チェンナイ,*,*,100,名詞,一般,*,*,*,*,,,
チキンカレー,*,*,100,名詞,一般,*,*,*,*,,,
チキンティッカ,*,*,100,名詞,食材,*,*,*,*,,,
チキンティッカマサラ,*,*,100,名詞,食材,*,*,*,*,,,
チキンマッカニー,*,*,100,名詞,食材,*,*,*,*,,,
ちっぷべつ,*,*,100,名詞,一般,*,*,*,*,,,
チャー,*,*,100,名詞,一般,*,*,*,*,,,
チャウダー,*,*,100,名詞,食材,*,*,*,*,,,
チャパティ,*,*,100,名詞,食材,*,*,*,*,,,
チャパティー,*,*,100,名詞,食材,*,*,*,*,,,
チョイス,*,*,100,名詞,一般,*,*,*,*,,,
チョーンク,*,*,100,名詞,一般,*,*,*,*,,,
チリチリ,*,*,10,名詞,店舗,*,*,*,*,,,
ツウ,*,*,100,名詞,一般,*,*,*,*,,,
ディル,*,*,100,名詞,食材,*,*,*,*,,,
ディルシード,*,*,100,名詞,食材,*,*,*,*,,,
デカ盛り,*,*,100,名詞,一般,*,*,*,*,,,
テジパッタ,*,*,100,名詞,食材,*,*,*,*,,,
テンパリング,*,*,100,名詞,一般,*,*,*,*,,,
デンプン,*,*,100,名詞,一般,*,*,*,*,,,
ドゥニヤ,*,*,100,名詞,店舗,*,*,*,*,,,
ドーサ,*,*,100,名詞,食材,*,*,*,*,,,
トッピング,*,*,100,名詞,食材,*,*,*,*,,,
トプカ,*,*,100,名詞,店舗,*,*,*,*,,,
トマト,*,*,100,名詞,食材,*,*,*,*,,,
ドライカリー,*,*,100,名詞,一般,*,*,*,*,,,
ドライカレ ー,*,*,100,名詞,一般,*,*,*,*,,,
ナーン,*,*,100,名詞,食材,*,*,*,*,,,
ナイルレストラン,*,*,100,名詞,店舗,*,*,*,*,,,
ナドゥ,*,*,100,名詞,一般,*,*,*,*,,,
ナンディ,*,*,100,名詞,店舗,*,*,*,*,,,
ニューライト,*,*,100,名詞,店舗,*,*,*,*,,,
ニルワナム,*,*,100,名詞,店舗,*,*,*,*,,,
パク森,*,*,100,店舗,店舗,*,*,*,*,,,
バスマティ,*,*,100,名詞,食材,*,*,*,*,,,
パスマティ,*,*,100,名詞,食材,*,*,*,*,,,
バターチキンカレー,*,*,100,名詞,食材,*,*,*,*,,,
パパダム,*,*,100,名詞,食材,*,*,*,*,,,
バミセリ,*,*,100,名詞,食材,*,*,*,*,,,
バンガロール,*,*,100,名詞,一般,*,*,*,*,,,
パンチマハル,*,*,100,名詞,店舗,*,*,*,*,,,
パンニャ,*,*,100,名詞,店舗,*,*,*,*,,,
バンブルビー,*,*,100,名詞,店舗,*,*,*,*,,,
ビジービー,*,*,100,名詞,店舗,*,*,*,*,,,
ビネガー,*,*,100,名詞,食材,*,*,*,*,,,
ピネン,*,*,100,名詞,食材,*,*,*,*,,,
ピューレ,*,*,100,名詞,食材,*,*,*,*,,,
ビュッフェ,*,*,100,名詞,一般,*,*,*,*,,,
ひよこ豆,*,*,100,名詞,食材,*,*,*,*,,,
プーリ,*,*,100,名詞,一般,*,*,*,*,,,
フェランドレン,*,*,100,名詞,食材,*,*,*,*,,,
フェンネル,*,*,100,名詞,一般,*,*,*,*,,,
ふくてい,*,*,100,名詞,一般,*,*,*,*,,,
ブラウニー,*,*,100,名詞,一般,*,*,*,*,,,
ブラックペッパー,*,*,100,名詞,食材,*,*,*,*,,,
プラディシュ,*,*,100,名詞,一般,*,*,*,*,,,
ふらんす亭,*,*,100,名詞,店舗,*,*,*,*,,,
ベイリーフ,*,*,100,名詞,食材,*,*,*,*,,,
ヘイワード,*,*,100,名詞,一般,*,*,*,*,,,
ベジタリアン,*,*,100,名詞,一般,*,*,*,*,,,
ベジメニュー,*,*,100,名詞,一般,*,*,*,*,,,
ベネディクト,*,*,100,名詞,一般,*,*,*,*,,,
ペパー,*,*,100,名詞,食材,*,*,*,*,,,
ペルシャ,*,*,100,名詞,一般,*,*,*,*,,,
ペルソナ,*,*,100,名詞,店舗,*,*,*,*,,,
ホットスプーン,*,*,100,名詞,店舗,*,*,*,*,,,
ボナペティ,*,*,100,名詞,店舗,*,*,*,*,,,
ホリディ,*,*,100,名詞,一般,*,*,*,*,,,
ボンカレー,*,*,100,名詞,一般,*,*,*,*,,,
ボンディ,*,*,100,名詞,店舗,*,*,*,*,,,
マサラ,*,*,100,名詞,一般,*,*,*,*,,,
マサラカレー,*,*,100,名詞,食材,*,*,*,*,,,
